image-ID,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,chisq,particle-ID,vis-probe
154,1,1,54,2,1125.23,1,1,0,0,1,1,1,1,8189.3,41674.7,11838.9,1,1,1,1,0,0.149056,-1,0
155,1,1,55,2,1553.73,1,1,0,0,1,1,1,1,7250.25,34910.5,10423.7,1,1,1,1,0,0.126847,-1,0
160,1,1,60,3,1598.58,1,1,0,0,1,1,1,1,4302.3,40598.4,11475.9,1,1,1,1,0,0.125056,-1,0
162,1,1,62,2,959.178,1,1,0,0,1,1,1,1,8392.13,35135.3,10447.2,1,1,1,1,0,0.161443,-1,0
162,1,1,62,3,1460.82,1,1,0,0,1,1,1,1,4313.32,40605.4,11489.1,1,1,1,1,0,0.130819,-1,0
164,1,1,64,3,1733.37,1,1,0,0,1,1,1,1,5770.17,35844.6,10385.2,1,1,1,1,0,0.120095,-1,0
167,1,1,67,2,980.645,1,1,0,0,1,1,1,1,6115.76,36593.6,11090.2,1,1,1,1,0,0.159667,-1,0
168,1,1,68,2,782.015,1,1,0,0,1,1,1,1,6125.31,36572.6,11073.4,1,1,1,1,0,0.178798,-1,0
169,1,1,69,2,1133.53,1,1,0,0,1,1,1,1,6094.43,36586.4,11136.2,1,1,1,1,0,0.14851,-1,0
171,1,1,71,3,1735.27,1,1,0,0,1,1,1,1,6167.63,40237.1,11651.1,1,1,1,1,0,0.120029,-1,0
172,1,1,72,2,1192.93,1,1,0,0,1,1,1,1,6173.94,40253.2,11676.5,1,1,1,1,0,0.144764,-1,0
173,1,1,73,2,1252.99,1,1,0,0,1,1,1,1,5536.04,37396.9,11195.9,1,1,1,1,0,0.141252,-1,0
174,1,1,74,2,1219.57,1,1,0,0,1,1,1,1,5523.82,37411.4,11190.5,1,1,1,1,0,0.143175,-1,0
175,1,1,75,2,1219.48,1,1,0,0,1,1,1,1,6191.21,40245.2,11791.7,1,1,1,1,0,0.14318,-1,0
176,1,1,76,2,1236.95,1,1,0,0,1,1,1,1,5519.28,37423.4,11214.3,1,1,1,1,0,0.142165,-1,0
176,1,1,76,2,894.471,1,1,0,0,1,1,1,1,3591.32,39850.1,11563.8,1,1,1,1,0,0.167181,-1,0
177,1,1,77,2,1218.23,1,1,0,0,1,1,1,1,6184.88,40263.3,11700.1,1,1,1,1,0,0.143254,-1,0
178,1,1,78,2,985.231,1,1,0,0,1,1,1,1,6194.63,40255.7,11766.1,1,1,1,1,0,0.159295,-1,0
179,1,1,79,2,888.902,1,1,0,0,1,1,1,1,6182.57,40255.6,11742.5,1,1,1,1,0,0.167704,-1,0
182,1,1,82,2,812.912,1,1,0,0,1,1,1,1,7630.06,40922.9,11889.8,1,1,1,1,0,0.175367,-1,0
183,1,1,83,2,993.967,1,1,0,0,1,1,1,1,5329.33,41026.9,11821.7,1,1,1,1,0,0.158593,-1,0
184,1,1,84,2,1024.48,1,1,0,0,1,1,1,1,5301.71,41002.8,11729,1,1,1,1,0,0.156213,-1,0
185,1,1,85,2,1209.11,1,1,0,0,1,1,1,1,7624.17,40912.3,11825.8,1,1,1,1,0,0.143793,-1,0
186,1,1,86,2,908.603,1,1,0,0,1,1,1,1,5325.15,41032.1,11775.7,1,1,1,1,0,0.165876,-1,0
